[NanoDet][12-31 02:21:17]INFO: Setting up data...
[NanoDet][12-31 02:21:17]INFO: Creating model...
[NanoDet][12-31 02:21:22]INFO: hyperparams: 
[NanoDet][12-31 02:21:22]INFO: Weight Averaging is enabled
[NanoDet][12-31 02:33:41]INFO: Train|Epoch8/300|Iter230(27)| lr:4.60e-04| loss_qfl:0.1895| loss_bbox:0.3311| loss_dfl:0.2769| aux_loss_qfl:0.1470| aux_loss_bbox:0.1480| aux_loss_dfl:0.1199| 
[NanoDet][12-31 02:34:33]INFO: Train|Epoch9/300|Iter240(8)| lr:4.80e-04| loss_qfl:0.1889| loss_bbox:0.3343| loss_dfl:0.2724| aux_loss_qfl:0.1718| aux_loss_bbox:0.1509| aux_loss_dfl:0.1180| 
[NanoDet][12-31 02:34:55]INFO: Train|Epoch9/300|Iter250(18)| lr:5.00e-04| loss_qfl:0.1782| loss_bbox:0.2920| loss_dfl:0.2568| aux_loss_qfl:0.1070| aux_loss_bbox:0.1604| aux_loss_dfl:0.1232| 
[NanoDet][12-31 02:35:17]INFO: Train|Epoch9/300|Iter260(28)| lr:5.20e-04| loss_qfl:0.1758| loss_bbox:0.2756| loss_dfl:0.2455| aux_loss_qfl:0.1096| aux_loss_bbox:0.1428| aux_loss_dfl:0.1212| 
[NanoDet][12-31 02:36:20]INFO: Train|Epoch10/300|Iter270(9)| lr:5.40e-04| loss_qfl:0.1506| loss_bbox:0.2601| loss_dfl:0.2388| aux_loss_qfl:0.1326| aux_loss_bbox:0.1883| aux_loss_dfl:0.1262| 
[NanoDet][12-31 02:36:44]INFO: Train|Epoch10/300|Iter280(19)| lr:5.60e-04| loss_qfl:0.1796| loss_bbox:0.2455| loss_dfl:0.2357| aux_loss_qfl:0.1037| aux_loss_bbox:0.1525| aux_loss_dfl:0.1217| 
[NanoDet][12-31 02:37:11]INFO: Val|Epoch10/300|Iter289(0)| lr:5.78e-04| loss_qfl:0.1698| loss_bbox:0.2025| loss_dfl:0.2021| aux_loss_qfl:0.1136| aux_loss_bbox:0.1591| aux_loss_dfl:0.1219| 
[NanoDet][12-31 02:37:14]INFO: Saving model to workspace_stop_line/nanodet-plus-m_416/model_best/nanodet_model_best.pth
[NanoDet][12-31 02:37:14]INFO: Val_metrics: {'mAP': 0.8209460658145843, 'AP_50': 0.945343661551962, 'AP_75': 0.9403737515410802, 'AP_small': -1.0, 'AP_m': -1.0, 'AP_l': 0.8209460658145843}
[NanoDet][12-31 02:37:36]INFO: Train|Epoch11/300|Iter290(0)| lr:5.80e-04| loss_qfl:0.1822| loss_bbox:0.2646| loss_dfl:0.2376| aux_loss_qfl:0.1440| aux_loss_bbox:0.1662| aux_loss_dfl:0.1231| 
[NanoDet][12-31 02:38:13]INFO: Train|Epoch11/300|Iter300(10)| lr:6.00e-04| loss_qfl:0.1381| loss_bbox:0.2677| loss_dfl:0.2120| aux_loss_qfl:0.1111| aux_loss_bbox:0.1425| aux_loss_dfl:0.1120| 
[NanoDet][12-31 02:38:35]INFO: Train|Epoch11/300|Iter310(20)| lr:6.20e-04| loss_qfl:0.1633| loss_bbox:0.2059| loss_dfl:0.2248| aux_loss_qfl:0.1253| aux_loss_bbox:0.1893| aux_loss_dfl:0.1321| 
[NanoDet][12-31 02:39:30]INFO: Train|Epoch12/300|Iter320(1)| lr:6.40e-04| loss_qfl:0.1625| loss_bbox:0.2107| loss_dfl:0.2101| aux_loss_qfl:0.1344| aux_loss_bbox:0.1979| aux_loss_dfl:0.1284| 
[NanoDet][12-31 02:40:03]INFO: Train|Epoch12/300|Iter330(11)| lr:6.60e-04| loss_qfl:0.1237| loss_bbox:0.2439| loss_dfl:0.2142| aux_loss_qfl:0.1066| aux_loss_bbox:0.1573| aux_loss_dfl:0.1226| 
[NanoDet][12-31 02:40:25]INFO: Train|Epoch12/300|Iter340(21)| lr:6.80e-04| loss_qfl:0.1248| loss_bbox:0.2035| loss_dfl:0.1966| aux_loss_qfl:0.0940| aux_loss_bbox:0.1393| aux_loss_dfl:0.1156| 
[NanoDet][12-31 02:41:23]INFO: Train|Epoch13/300|Iter350(2)| lr:7.00e-04| loss_qfl:0.1420| loss_bbox:0.2028| loss_dfl:0.1920| aux_loss_qfl:0.1209| aux_loss_bbox:0.1684| aux_loss_dfl:0.1228| 
[NanoDet][12-31 02:41:54]INFO: Train|Epoch13/300|Iter360(12)| lr:7.20e-04| loss_qfl:0.1572| loss_bbox:0.1956| loss_dfl:0.1829| aux_loss_qfl:0.1996| aux_loss_bbox:0.1297| aux_loss_dfl:0.1138| 
[NanoDet][12-31 02:42:15]INFO: Train|Epoch13/300|Iter370(22)| lr:7.40e-04| loss_qfl:0.1598| loss_bbox:0.2051| loss_dfl:0.1873| aux_loss_qfl:0.1046| aux_loss_bbox:0.1632| aux_loss_dfl:0.1206| 
[NanoDet][12-31 02:43:17]INFO: Train|Epoch14/300|Iter380(3)| lr:7.60e-04| loss_qfl:0.1740| loss_bbox:0.2402| loss_dfl:0.1823| aux_loss_qfl:0.1213| aux_loss_bbox:0.2341| aux_loss_dfl:0.1292| 
[NanoDet][12-31 02:43:48]INFO: Train|Epoch14/300|Iter390(13)| lr:7.80e-04| loss_qfl:0.1671| loss_bbox:0.2333| loss_dfl:0.1845| aux_loss_qfl:0.1145| aux_loss_bbox:0.1374| aux_loss_dfl:0.1202| 
[NanoDet][12-31 02:44:09]INFO: Train|Epoch14/300|Iter400(23)| lr:8.00e-04| loss_qfl:0.1534| loss_bbox:0.2163| loss_dfl:0.1686| aux_loss_qfl:0.1299| aux_loss_bbox:0.1492| aux_loss_dfl:0.1156| 
